,No int,Attention,Demand,Play
1,,46.7,,
2,,,19.1,
3,61.0,,,
4,,10.8,,
5,,,,0.0
6,62.9,,,
7,,26.5,,
8,,,,1.7
9,64.8,,,
10,,,,28.5
11,,,4.1,
12,52.4,,,
13,,,8.7,
14,,17.5,,
15,,,,2.3
16,,18.0,,
17,91.2,,,
