,Att,Edibles,Escape,Play
1,,0.0,,
2,0.0,,,
3,0.0,,,
4,,0.0,,
5,,,1.2,
6,,,,0.0
7,0.0,,,
8,,12.4,,
9,,,,0.0
10,,,1,
11,,25.8,,
12,0.0,,,
13,,1.0,,
14,,,0.0,
15,,,0.7,
16,,,,0.0
17,,13.3,,
18,0.0,,,
19,,,3.2,
20,,26.2,,
21,0.0,,,
22,,,0.8,
23,,,0.0,
24,,1.8,,
25,0.0,,,
26,,,,0.0
27,,,0.6,
28,,0.0,,
29,,16.9,,
30,,12.3,,
31,,,1.3,
