,Attention,Tangible,Demand,Play
1,,,,0.0
2,,,0.7,
3,,1.2,,
4,3.7,,,
5,1.2,,,
6,,,,1.3
7,,1.7,,
8,,,1.0,
9,,,,0.2
10,,,1.2,
11,5.2,,,
12,,0.3,,
13,,,,0.1
14,,6.4,,
15,0.3,,,
16,,,0.1,
17,,,,0.0
18,,,0.4,
19,,,,0.0
20,6.1,,,
21,,2.2,,
22,8.4,,,
23,,4.0,,
24,,,,0.2
25,,,0.9,
26,,1.8,,
27,3.0,,,
28,,,0.6,
29,,,1.0,
30,7.8,,,
31,,,,0.6
32,,1.4,,
33,,,,0.4
34,,1.7,,
35,,,0.7,
36,9.5,,,
37,,,0.7,
38,8.6,,,
39,,,,0.3
40,,0.8,,
41,10.3,,,
42,,,,0.0
43,,0.7,,
44,,,1.0,
