,Attention,Tangible,Demand,Play
1,,0.5,,
2,0.7,,,
3,,,0.1,
4,,,,0.4
5,,,,1.1
6,10.5,,,
7,,9.8,,
8,,,0.2,
9,,,,9.5
10,0.1,,,
11,,,0.6,
12,,2.5,,
13,,,,2.9
14,28.4,,,
15,,,3.6,
16,,6.2,,
17,16.8,,,
18,,,,3.1
19,,4.8,,
20,,,2.6,
21,1.7,,,
22,,,,0.8
23,,4.9,,
24,,,4.7,
25,,6.7,,
26,10.6,,,
27,,,,0.1
28,,,2,
29,,,,0.1
30,23.6,,,
31,,5,,
32,,,4,
33,,3.2,,
34,20.4,,,
35,,,,0.1
36,23.6,,,
37,,,7.1,
38,,3,,
39,,,,0.1
40,,,0.4,
