,Attention,Tangible,Demand,Play
1,,8.9,,
2,,,0.0,
3,,,,0.9
4,1.9,,,
5,,,0.1,
6,,1.4,,
7,,5.7,,
8,,,,0.2
9,,,,0.4
10,,12.5,,
11,6.2,,,
12,,,0.2,
13,,3.4,,
14,,,,3.2
15,,,0.1,
16,2.1,,,
17,,2.2,,
18,8.8,,,
19,,,0.6,
20,32.5,,,
21,,,1.8,
22,,,,0.7
23,18.8,,,
24,,,,1.2
25,,,,2.0
26,,,0.2,
27,,,0.0,
28,,4.5,,
29,,,0.3,
30,19.7,,,
31,,,,0.9
32,,5.4,,
33,,,0.0,
34,,,,0.7
35,,,,
36,,,,1.5
37,,20.0,,
38,14.9,,,
39,,12.3,,
40,14.1,,,
41,19.9,,,
