,Attention,Demand,Play,Tangible
1,0,,,
2,,0,,
3,,0,,
4,,,,13.5
5,0,,,
6,,,,40
7,,,0,
8,0,,,
9,,,0,
10,,,,10
11,0,,,
12,,,,29.9
13,,,0,
14,,0,,
15,,,,23.4
16,,,,26.7
17,0,,,
18,,0,,
19,,,,6.7
20,0,,,
21,,,,16.7
22,,0,,
23,,,,19.9
24,0,,,
25,,,0,
26,0,,,
