,Alone,Attention,Play,Demand
1,0.1,,,
2,,1.7,,
3,,,4.1,
4,,,,0.6
5,0.1,,,
6,,1.8,,
7,,,3.2,
8,,,,0.4
9,0.1,,,
10,,2.7,,
11,,,1.4,
12,,,,0.3
13,0.0,,,
14,,12.5,,
15,,,2.1,
16,,,,0.4
17,0.0,,,
18,,24.7,,
19,,,2.3,
20,,,,1.2
21,0.2,,,
22,,30.9,,
23,,,2.0,
24,,,,0.1
25,0.4,,,
26,,21.9,,
27,,,2.7,
28,,,,2.3
